user_id,action_type,item_id,timestamp,action_id,event_type
user_0649,PURCHASE,item_0415,1722061718588,act1,Taken
user_4887,VIEW,item_0320,1749893930426,act2,Viewed
user_4566,REWARD_REDEMPTION,item_0461,1743029994783,act3,Taken
user_2222,VIEW,item_0476,1750193350439,act4,Viewed
user_2692,ADD_TO_CART,item_0185,1736966252903,act5,Taken
user_1459,REWARD_REDEMPTION,item_0016,1740646704875,act6,Taken
user_2677,REWARD_REDEMPTION,item_0130,1734832505596,act7,Taken
user_2725,REWARD_IMPRESSION,item_0488,1746406013260,act8,Viewed
user_1707,REWARD_REDEMPTION,item_0467,1739009675590,act9,Taken
user_3508,VIEW,item_0359,1745048408340,act10,Viewed
user_0564,VIEW,item_0301,1746631074956,act11,Viewed
user_2359,VIEW,item_0478,1739811746103,act12,Viewed
user_2805,ADD_TO_CART,item_0240,1728783159559,act13,Taken
user_0094,REWARD_IMPRESSION,item_0369,1749407406280,act14,Viewed
user_2778,ADD_TO_CART,item_0302,1725679668635,act15,Taken
user_4416,PURCHASE,item_0487,1727940893051,act16,Taken
user_4975,ADD_TO_CART,item_0220,1724961238169,act17,Taken
user_4236,ADD_TO_CART,item_0277,1746290557450,act18,Taken
user_0494,PURCHASE,item_0065,1731561535014,act19,Taken
user_1471,REWARD_IMPRESSION,item_0245,1721111772110,act20,Viewed
user_1637,ADD_TO_CART,item_0027,1749568591672,act21,Taken
user_4992,PURCHASE,item_0387,1724741733586,act22,Taken
user_2850,PURCHASE,item_0264,1723361969677,act23,Taken
user_0491,PURCHASE,item_0016,1746921903390,act24,Taken
user_1222,REWARD_REDEMPTION,item_0058,1741825604636,act25,Taken
user_0878,PURCHASE,item_0412,1731381466413,act26,Taken
user_1611,PURCHASE,item_0359,1727400944762,act27,Taken
user_3656,VIEW,item_0210,1744921224038,act28,Viewed
user_0702,VIEW,item_0025,1727351551273,act29,Viewed
user_1350,PURCHASE,item_0359,1721611635914,act30,Taken
user_0575,PURCHASE,item_0375,1730625249580,act31,Taken
user_2653,VIEW,item_0428,1740571736923,act32,Viewed
user_4530,ADD_TO_CART,item_0443,1744089414117,act33,Taken
user_3530,PURCHASE,item_0450,1721597916975,act34,Taken
user_4454,PURCHASE,item_0040,1728598989325,act35,Taken
user_4948,PURCHASE,item_0107,1739446032508,act36,Taken
user_3332,VIEW,item_0278,1730519737001,act37,Viewed
user_4340,REWARD_REDEMPTION,item_0025,1746849750068,act38,Taken
user_2128,ADD_TO_CART,item_0347,1738597350389,act39,Taken
user_4126,ADD_TO_CART,item_0425,1733373592370,act40,Taken
user_1614,REWARD_IMPRESSION,item_0043,1725772886273,act41,Viewed
user_2750,ADD_TO_CART,item_0257,1725550992604,act42,Taken
user_1675,VIEW,item_0430,1737290734939,act43,Viewed
user_1266,PURCHASE,item_0157,1736054720796,act44,Taken
