user_id,item_id,event_type,timestamp
user_0649,item_0415,PURCHASE,1722061718588
user_4887,item_0320,VIEW,1749893930426
user_4566,item_0461,REWARD_REDEMPTION,1743029994783
user_2222,item_0476,VIEW,1750193350439
user_2692,item_0185,ADD_TO_CART,1736966252903
user_1459,item_0016,REWARD_REDEMPTION,1740646704875
user_2677,item_0130,REWARD_REDEMPTION,1734832505596
user_2725,item_0488,REWARD_IMPRESSION,1746406013260
user_1707,item_0467,REWARD_REDEMPTION,1739009675590
user_3508,item_0359,VIEW,1745048408340
user_0564,item_0301,VIEW,1746631074956
user_2359,item_0478,VIEW,1739811746103
user_2805,item_0240,ADD_TO_CART,1728783159559
user_0094,item_0369,REWARD_IMPRESSION,1749407406280
user_2778,item_0302,ADD_TO_CART,1725679668635
user_4416,item_0487,PURCHASE,1727940893051
user_4975,item_0220,ADD_TO_CART,1724961238169
user_4236,item_0277,ADD_TO_CART,1746290557450
user_0494,item_0065,PURCHASE,1731561535014
user_1471,item_0245,REWARD_IMPRESSION,1721111772110
user_1637,item_0027,ADD_TO_CART,1749568591672
user_4992,item_0387,PURCHASE,1724741733586
user_2850,item_0264,PURCHASE,1723361969677
user_0491,item_0016,PURCHASE,1746921903390
user_1222,item_0058,REWARD_REDEMPTION,1741825604636
user_0878,item_0412,PURCHASE,1731381466413
user_1611,item_0359,PURCHASE,1727400944762
user_3656,item_0210,VIEW,1744921224038
user_0702,item_0025,VIEW,1727351551273
user_1350,item_0359,PURCHASE,1721611635914
user_0575,item_0375,PURCHASE,1730625249580
user_2653,item_0428,VIEW,1740571736923
user_4530,item_0443,ADD_TO_CART,1744089414117
user_3530,item_0450,PURCHASE,1721597916975
user_4454,item_0040,PURCHASE,1728598989325
user_4948,item_0107,PURCHASE,1739446032508
user_3332,item_0278,VIEW,1730519737001
user_4340,item_0025,REWARD_REDEMPTION,1746849750068
user_2128,item_0347,ADD_TO_CART,1738597350389
user_4126,item_0425,ADD_TO_CART,1733373592370
user_1614,item_0043,REWARD_IMPRESSION,1725772886273
user_2750,item_0257,ADD_TO_CART,1725550992604
user_1675,item_0430,VIEW,1737290734939
user_1266,item_0157,PURCHASE,1736054720796
user_4323,item_0345,VIEW,1733113492712
user_2593,item_0189,REWARD_IMPRESSION,1722005433568
user_2463,item_0210,PURCHASE,1732721336749
user_1059,item_0227,PURCHASE,1728915330896
user_0143,item_0369,VIEW,1744471677872
user_4884,item_0251,ADD_TO_CART,1723466182553
user_2678,item_0156,ADD_TO_CART,1726377566761
user_0796,item_0069,REWARD_REDEMPTION,1737211088544
user_0672,item_0239,REWARD_IMPRESSION,1746990981743
user_4409,item_0455,ADD_TO_CART,1735888689686
user_0755,item_0414,REWARD_REDEMPTION,1733992032494
user_3779,item_0289,VIEW,1749400740849
user_4897,item_0454,ADD_TO_CART,1744795953847
user_4091,item_0420,ADD_TO_CART,1740721721544
user_4244,item_0044,ADD_TO_CART,1726842920330
user_4119,item_0456,REWARD_REDEMPTION,1723835998122
user_4935,item_0391,REWARD_IMPRESSION,1741089048869
user_1563,item_0386,ADD_TO_CART,1748037179688
user_1887,item_0239,REWARD_IMPRESSION,1730586220898
user_1681,item_0313,ADD_TO_CART,1739068400919
user_0255,item_0213,REWARD_REDEMPTION,1741006657918
user_3460,item_0482,REWARD_IMPRESSION,1730426369370
user_0044,item_0315,REWARD_REDEMPTION,1740502373960
user_1692,item_0280,VIEW,1727041419668
user_3103,item_0369,ADD_TO_CART,1742197839988
user_3924,item_0185,PURCHASE,1723620310512
